# range_bin,doppler_bin,angle_deg,snr,zone_flag
184.0,8,-0.3,101.3,0
166.0,8,0.7,101.3,0
56.0,8,0.0,101.2,0
79.0,8,0.2,101.2,0
78.0,8,0.1,101.2,0
61.0,8,-0.0,101.3,0
76.0,8,-0.0,101.3,0
64.0,8,0.2,101.3,0
129.0,8,0.1,101.3,1
73.0,8,0.1,101.2,0
149.0,8,0.0,101.3,1
168.0,8,-0.2,101.2,0
70.0,8,0.2,101.2,0
135.0,8,-1.0,101.2,1
146.0,8,0.2,101.2,1
176.0,8,1.2,101.3,0
132.0,8,-1.4,101.3,1
74.0,8,0.2,101.8,0
75.0,8,0.1,101.6,0
63.0,8,-0.4,101.4,0
62.0,8,-0.6,101.5,0
77.0,8,0.1,101.4,0
165.0,8,2.7,101.5,0
164.0,8,2.3,101.5,0
163.0,8,1.9,101.5,0
162.0,8,1.5,101.9,0
161.0,8,1.0,101.8,0
151.0,8,-0.7,101.4,0
150.0,8,-0.3,101.4,0
148.0,8,0.2,101.4,1
142.0,8,61.2,101.6,1
141.0,8,8.5,101.7,1
140.0,8,-0.9,101.6,1
192.0,8,-0.6,102.1,0
179.0,8,3.5,101.8,0
180.0,8,3.9,101.6,0
139.0,8,-2.1,101.7,1
138.0,8,-2.5,102.5,1
137.0,8,-3.0,102.2,1
136.0,8,-4.0,101.4,1
125.0,8,-2.8,101.6,1
126.0,8,-1.5,101.8,1
185.0,8,12.1,102.0,0
186.0,8,18.4,101.4,0
127.0,8,-0.6,101.4,1
128.0,8,0.2,101.4,1
193.0,8,0.9,102.4,0
60.0,8,0.2,101.0,0
78.0,8,0.2,101.0,0
132.0,8,-0.2,101.0,1
72.0,8,0.1,101.0,0
37.0,8,0.3,101.0,0
58.0,8,0.3,101.1,0
157.0,8,-0.0,101.1,0
151.0,8,0.1,101.1,0
79.0,8,0.2,101.1,0
66.0,8,0.2,101.1,0
